,hour_output_categorical_accuracy,hour_output_loss,loss,minute_output_loss,minute_output_mean_absolute_error,val_hour_output_categorical_accuracy,val_hour_output_loss,val_loss,val_minute_output_loss,val_minute_output_mean_absolute_error
138,0.980555534362793,0.06562244892120361,0.2561412453651428,0.04465394839644432,0.04465951398015022,0.8033333420753479,0.6726847290992737,0.7660419940948486,0.08703391999006271,0.08408649265766144
139,0.981458306312561,0.06427057832479477,0.26394620537757874,0.04634588956832886,0.046375494450330734,0.8061110973358154,0.6549652814865112,0.7714280486106873,0.09021275490522385,0.08733300864696503
140,0.980138897895813,0.06549478322267532,0.2584914565086365,0.04511365666985512,0.04515335336327553,0.8116666674613953,0.664247453212738,0.7599586248397827,0.08751054108142853,0.08429858088493347
141,0.9809027910232544,0.06537824869155884,0.26101434230804443,0.04567383602261543,0.04566241055727005,0.8077777624130249,0.6620998978614807,0.7574840784072876,0.08604007214307785,0.08334610611200333
142,0.9831249713897705,0.05972267687320709,0.2505207657814026,0.044134121388196945,0.04412159323692322,0.8149999976158142,0.63625168800354,0.754300057888031,0.0857619121670723,0.0840926542878151
143,0.9824305772781372,0.06131555885076523,0.24746806919574738,0.04333469271659851,0.043343134224414825,0.8177777528762817,0.654570996761322,0.7597005367279053,0.0839150920510292,0.08323164284229279
144,0.9804860949516296,0.06395982950925827,0.25312453508377075,0.04423341155052185,0.04423319920897484,0.8088889122009277,0.6875048875808716,0.7718554735183716,0.08547507971525192,0.08454050123691559
145,0.9825000166893005,0.058984655886888504,0.2497214525938034,0.044029247015714645,0.04406071454286575,0.820555567741394,0.6449766159057617,0.7591993808746338,0.08707236498594284,0.0844871774315834
146,0.9825694561004639,0.05878020077943802,0.24680259823799133,0.0435187853872776,0.04349212348461151,0.8122222423553467,0.6901805400848389,0.7817841172218323,0.08498380333185196,0.08408750593662262
147,0.9816666841506958,0.06186479702591896,0.26005876064300537,0.04582173749804497,0.04582270234823227,0.8133333325386047,0.6291700005531311,0.7685980200767517,0.09063298255205154,0.08782491832971573
148,0.9827083349227905,0.0588834248483181,0.24640488624572754,0.04339363053441048,0.04339093342423439,0.8161110877990723,0.6718551516532898,0.7673578262329102,0.08550012111663818,0.08336865901947021
149,0.9845138788223267,0.055684905499219894,0.24548549950122833,0.043525658547878265,0.04353729635477066,0.8161110877990723,0.6558467149734497,0.7776705026626587,0.08933201432228088,0.08705249428749084
