run_id,hidden_layers,nodes,dropout,lr,val_accuracy,fit_time_sec
5,1,256,0.4,0.01,0.8830000162124634,5.959529161453247
1,1,256,0.4,0.001,0.8865000009536743,5.872369050979614
2,1,256,0.4,0.001,0.8808333277702332,6.0442609786987305
3,1,256,0.4,0.001,0.8838333487510681,6.034968614578247
4,1,256,0.4,0.001,0.8856666684150696,6.278177738189697
5,1,256,0.4,0.001,0.8818333148956299,6.035404205322266
1,1,256,0.4,0.0005,0.8759999871253967,6.096905469894409
2,1,256,0.4,0.0005,0.878333330154419,5.991410255432129
3,1,256,0.4,0.0005,0.8794999718666077,5.931385040283203
4,1,256,0.4,0.0005,0.8790000081062317,5.9401702880859375
5,1,256,0.4,0.0005,0.878000020980835,6.060134649276733
1,1,256,0.5,1.0,0.18066667020320892,5.88378643989563
2,1,256,0.5,1.0,0.12333333492279053,5.893926382064819
3,1,256,0.5,1.0,0.20333333313465118,6.220158100128174
4,1,256,0.5,1.0,0.11133333295583725,5.99662184715271
5,1,256,0.5,1.0,0.10949999839067459,8.097050905227661
1,1,256,0.5,0.1,0.7294999957084656,7.909804821014404
2,1,256,0.5,0.1,0.6463333368301392,6.079256772994995
3,1,256,0.5,0.1,0.7404999732971191,5.9542741775512695
4,1,256,0.5,0.1,0.7086666822433472,5.924215078353882
5,1,256,0.5,0.1,0.7319999933242798,5.836069822311401
1,1,256,0.5,0.01,0.8801666498184204,5.800480127334595
2,1,256,0.5,0.01,0.8756666779518127,5.903303384780884
3,1,256,0.5,0.01,0.8784999847412109,5.963876008987427
4,1,256,0.5,0.01,0.8736666440963745,5.956071853637695
5,1,256,0.5,0.01,0.875333309173584,5.955911636352539
1,1,256,0.5,0.001,0.8811666369438171,6.01019811630249
2,1,256,0.5,0.001,0.8818333148956299,6.032774925231934
3,1,256,0.5,0.001,0.8853333592414856,5.963284969329834
4,1,256,0.5,0.001,0.8836666941642761,6.0691211223602295
5,1,256,0.5,0.001,0.8823333382606506,5.833559274673462
1,1,256,0.5,0.0005,0.8741666674613953,5.973515033721924
2,1,256,0.5,0.0005,0.875166654586792,5.926492691040039
3,1,256,0.5,0.0005,0.8773333430290222,6.3124799728393555
4,1,256,0.5,0.0005,0.8726666569709778,5.965986490249634
5,1,256,0.5,0.0005,0.8734999895095825,6.1258227825164795
1,1,512,0.0,1.0,0.37433332204818726,5.518942356109619
2,1,512,0.0,1.0,0.28316667675971985,5.512103796005249
3,1,512,0.0,1.0,0.19900000095367432,5.702582597732544
4,1,512,0.0,1.0,0.1508333384990692,5.513523817062378
5,1,512,0.0,1.0,0.20466665923595428,5.673034191131592
1,1,512,0.0,0.1,0.7975000143051147,5.421860694885254
2,1,512,0.0,0.1,0.8274999856948853,5.498538255691528
3,1,512,0.0,0.1,0.8298333287239075,5.668660402297974
4,1,512,0.0,0.1,0.8446666598320007,5.474583387374878
5,1,512,0.0,0.1,0.7735000252723694,5.494863271713257
1,1,512,0.0,0.01,0.8859999775886536,5.554198503494263
2,1,512,0.0,0.01,0.8836666941642761,5.563003063201904
3,1,512,0.0,0.01,0.8846666812896729,5.598953008651733
4,1,512,0.0,0.01,0.8840000033378601,5.5819807052612305
5,1,512,0.0,0.01,0.8871666789054871,5.6374993324279785
1,1,512,0.0,0.001,0.8861666917800903,5.626088857650757
2,1,512,0.0,0.001,0.8870000243186951,5.620747804641724
3,1,512,0.0,0.001,0.8883333206176758,5.573775291442871
4,1,512,0.0,0.001,0.8878333568572998,5.61820387840271
5,1,512,0.0,0.001,0.8896666765213013,5.570593595504761
1,1,512,0.0,0.0005,0.8831666707992554,5.590864658355713
2,1,512,0.0,0.0005,0.8846666812896729,5.426736116409302
3,1,512,0.0,0.0005,0.8834999799728394,5.654408693313599
4,1,512,0.0,0.0005,0.8828333616256714,5.549328804016113
5,1,512,0.0,0.0005,0.8828333616256714,5.434266090393066
1,1,512,0.2,1.0,0.15199999511241913,6.423899173736572
2,1,512,0.2,1.0,0.15399999916553497,6.1107611656188965
3,1,512,0.2,1.0,0.22349999845027924,6.128387689590454
4,1,512,0.2,1.0,0.18516667187213898,5.945281982421875
5,1,512,0.2,1.0,0.2994999885559082,6.285942077636719
1,1,512,0.2,0.1,0.7593333125114441,6.19316554069519
2,1,512,0.2,0.1,0.7736666798591614,6.222153186798096
3,1,512,0.2,0.1,0.7940000295639038,6.137715101242065
4,1,512,0.2,0.1,0.8363333344459534,6.173129320144653
5,1,512,0.2,0.1,0.8231666684150696,6.057326316833496
1,1,512,0.2,0.01,0.8918333053588867,5.957930326461792
2,1,512,0.2,0.01,0.8889999985694885,5.9771363735198975
3,1,512,0.2,0.01,0.8889999985694885,5.9794511795043945
4,1,512,0.2,0.01,0.8828333616256714,5.9618635177612305
5,1,512,0.2,0.01,0.887499988079071,6.038930892944336
1,1,512,0.2,0.001,0.8918333053588867,6.100314617156982
2,1,512,0.2,0.001,0.8924999833106995,6.040496110916138
3,1,512,0.2,0.001,0.8898333311080933,5.976681470870972
4,1,512,0.2,0.001,0.8913333415985107,6.132743835449219
5,1,512,0.2,0.001,0.8893333077430725,6.152805805206299
1,1,512,0.2,0.0005,0.8833333253860474,6.008048057556152
2,1,512,0.2,0.0005,0.8834999799728394,5.982923984527588
3,1,512,0.2,0.0005,0.8853333592414856,6.063344240188599
4,1,512,0.2,0.0005,0.8834999799728394,5.985554456710815
5,1,512,0.2,0.0005,0.8841666579246521,6.0085837841033936
1,1,512,0.4,1.0,0.13449999690055847,6.038855075836182
2,1,512,0.4,1.0,0.1315000057220459,6.10483455657959
3,1,512,0.4,1.0,0.13633333146572113,6.190690040588379
4,1,512,0.4,1.0,0.2511666715145111,6.180706739425659
5,1,512,0.4,1.0,0.23633334040641785,6.045304298400879
1,1,512,0.4,0.1,0.7366666793823242,6.3746325969696045
2,1,512,0.4,0.1,0.8220000267028809,6.014796257019043
3,1,512,0.4,0.1,0.7515000104904175,6.2680604457855225
4,1,512,0.4,0.1,0.750333309173584,5.985051393508911
5,1,512,0.4,0.1,0.7471666932106018,5.758408784866333
1,1,512,0.4,0.01,0.8846666812896729,6.009364604949951
2,1,512,0.4,0.01,0.8845000267028809,6.120949745178223
3,1,512,0.4,0.01,0.8820000290870667,5.904465436935425
4,1,512,0.4,0.01,0.8790000081062317,5.830692291259766
5,1,512,0.4,0.01,0.8806666731834412,5.899406433105469
1,1,512,0.4,0.001,0.890500009059906,6.078557729721069
2,1,512,0.4,0.001,0.8866666555404663,6.049685955047607
3,1,512,0.4,0.001,0.8866666555404663,6.0191450119018555
4,1,512,0.4,0.001,0.8893333077430725,5.970862150192261
5,1,512,0.4,0.001,0.8828333616256714,5.973985195159912
1,1,512,0.4,0.0005,0.8849999904632568,6.001616477966309
2,1,512,0.4,0.0005,0.8826666474342346,5.969250202178955
3,1,512,0.4,0.0005,0.8843333125114441,5.929280519485474
4,1,512,0.4,0.0005,0.8824999928474426,6.176548957824707
5,1,512,0.4,0.0005,0.8826666474342346,5.981157064437866
1,1,512,0.5,1.0,0.19616666436195374,5.924745559692383
2,1,512,0.5,1.0,0.15700000524520874,6.067131519317627
3,1,512,0.5,1.0,0.12300000339746475,5.930929660797119
4,1,512,0.5,1.0,0.18250000476837158,6.027451276779175
5,1,512,0.5,1.0,0.11683333665132523,6.030463933944702
1,1,512,0.5,0.1,0.7139999866485596,6.192564010620117
2,1,512,0.5,0.1,0.7296666502952576,6.057347059249878
3,1,512,0.5,0.1,0.7698333263397217,6.100224733352661
4,1,512,0.5,0.1,0.6948333382606506,6.128528833389282
5,1,512,0.5,0.1,0.643666684627533,6.122747898101807
1,1,512,0.5,0.01,0.8799999952316284,6.104094505310059
2,1,512,0.5,0.01,0.8778333067893982,6.046081781387329
3,1,512,0.5,0.01,0.8774999976158142,6.305367469787598
4,1,512,0.5,0.01,0.8791666626930237,6.0640223026275635
5,1,512,0.5,0.01,0.8769999742507935,6.101661205291748
1,1,512,0.5,0.001,0.8849999904632568,6.041223049163818
2,1,512,0.5,0.001,0.8871666789054871,6.236299276351929
3,1,512,0.5,0.001,0.8866666555404663,5.925364255905151
4,1,512,0.5,0.001,0.8866666555404663,5.96392560005188
5,1,512,0.5,0.001,0.8898333311080933,5.913039445877075
1,1,512,0.5,0.0005,0.8826666474342346,5.9134626388549805
2,1,512,0.5,0.0005,0.8828333616256714,5.959843397140503
3,1,512,0.5,0.0005,0.8848333358764648,6.000075340270996
4,1,512,0.5,0.0005,0.8811666369438171,6.077591896057129
5,1,512,0.5,0.0005,0.8838333487510681,6.101051330566406
1,2,64,0.0,1.0,0.10316666960716248,6.643291711807251
2,2,64,0.0,1.0,0.10916666686534882,6.667000770568848
3,2,64,0.0,1.0,0.10316666960716248,6.694760322570801
4,2,64,0.0,1.0,0.10233332961797714,6.481577634811401
5,2,64,0.0,1.0,0.10916666686534882,6.835651636123657
1,2,64,0.0,0.1,0.7889999747276306,7.031373739242554
2,2,64,0.0,0.1,0.593500018119812,6.663317680358887
3,2,64,0.0,0.1,0.6819999814033508,6.632643222808838
4,2,64,0.0,0.1,0.5389999747276306,6.595152854919434
5,2,64,0.0,0.1,0.5504999756813049,6.982024431228638
1,2,64,0.0,0.01,0.8846666812896729,6.470918416976929
2,2,64,0.0,0.01,0.8815000057220459,6.801531553268433
3,2,64,0.0,0.01,0.8759999871253967,6.509187459945679
4,2,64,0.0,0.01,0.8805000185966492,6.8480634689331055
5,2,64,0.0,0.01,0.8799999952316284,6.5167717933654785
1,2,64,0.0,0.001,0.875166654586792,6.649502992630005
2,2,64,0.0,0.001,0.8788333535194397,6.956590175628662
3,2,64,0.0,0.001,0.8768333196640015,6.849366188049316
4,2,64,0.0,0.001,0.8765000104904175,6.967677116394043
5,2,64,0.0,0.001,0.8755000233650208,6.824575662612915
1,2,64,0.0,0.0005,0.8701666593551636,6.622007131576538
2,2,64,0.0,0.0005,0.8679999709129333,6.64131760597229
3,2,64,0.0,0.0005,0.8723333477973938,6.852750301361084
4,2,64,0.0,0.0005,0.8709999918937683,6.856496572494507
5,2,64,0.0,0.0005,0.8673333525657654,6.714452028274536
1,2,64,0.2,1.0,0.10916666686534882,7.59471583366394
2,2,64,0.2,1.0,0.10316666960716248,7.9901347160339355
3,2,64,0.2,1.0,0.10916666686534882,8.170516967773438
4,2,64,0.2,1.0,0.10916666686534882,8.975605964660645
5,2,64,0.2,1.0,0.10916666686534882,7.81919002532959
1,2,64,0.2,0.1,0.4934999942779541,7.759080648422241
2,2,64,0.2,0.1,0.5723333358764648,7.721226692199707
3,2,64,0.2,0.1,0.687833309173584,7.799269914627075
4,2,64,0.2,0.1,0.6303333044052124,7.688416481018066
5,2,64,0.2,0.1,0.5801666378974915,7.465816020965576
1,2,64,0.2,0.01,0.8694999814033508,7.616838455200195
2,2,64,0.2,0.01,0.8733333349227905,7.536398887634277
3,2,64,0.2,0.01,0.8678333163261414,7.867904424667358
4,2,64,0.2,0.01,0.875333309173584,7.945953845977783
5,2,64,0.2,0.01,0.8683333396911621,8.151365756988525
1,2,64,0.2,0.001,0.8755000233650208,7.969085931777954
