run_id,optimizer,activation,initializer,l1_reg,l2_reg,train_accuracy,val_accuracy,fit_time_sec
3,Adam,tanh,glorot_uniform,0.001,0.0,0.8428703546524048,0.8416666388511658,8.378985166549683
1,Adam,tanh,glorot_uniform,0.0,0.001,0.8703888654708862,0.8648333549499512,8.582262992858887
2,Adam,tanh,glorot_uniform,0.0,0.001,0.8753888607025146,0.8671666383743286,8.421669006347656
3,Adam,tanh,glorot_uniform,0.0,0.001,0.8700370192527771,0.8653333187103271,8.403890371322632
1,Adam,tanh,glorot_uniform,0.001,0.001,0.8395740985870361,0.8420000076293945,8.819670677185059
2,Adam,tanh,glorot_uniform,0.001,0.001,0.8354629874229431,0.8385000228881836,9.146124362945557
3,Adam,tanh,glorot_uniform,0.001,0.001,0.8359814882278442,0.8349999785423279,9.028804540634155
1,Adam,tanh,he_uniform,0.0,0.0,0.9337962865829468,0.8993333578109741,7.913130521774292
2,Adam,tanh,he_uniform,0.0,0.0,0.9338703751564026,0.8958333134651184,7.8451337814331055
3,Adam,tanh,he_uniform,0.0,0.0,0.9308333396911621,0.8945000171661377,8.165282726287842
1,Adam,tanh,he_uniform,0.001,0.0,0.8392221927642822,0.8428333401679993,8.844146013259888
2,Adam,tanh,he_uniform,0.001,0.0,0.840925931930542,0.840666651725769,8.314155101776123
3,Adam,tanh,he_uniform,0.001,0.0,0.8317962884902954,0.8336666822433472,8.520140647888184
1,Adam,tanh,he_uniform,0.0,0.001,0.8779814839363098,0.875333309173584,8.065281629562378
2,Adam,tanh,he_uniform,0.0,0.001,0.8774259090423584,0.8738333582878113,8.062611103057861
3,Adam,tanh,he_uniform,0.0,0.001,0.8783703446388245,0.8728333115577698,9.077849388122559
1,Adam,tanh,he_uniform,0.001,0.001,0.836555540561676,0.8381666541099548,9.353349447250366
2,Adam,tanh,he_uniform,0.001,0.001,0.8386666774749756,0.8373333215713501,8.455062866210938
3,Adam,tanh,he_uniform,0.001,0.001,0.8287777900695801,0.8323333263397217,8.657241106033325
1,SGD_Momentum,relu,glorot_uniform,0.0,0.0,0.8138889074325562,0.8153333067893982,6.861593723297119
2,SGD_Momentum,relu,glorot_uniform,0.0,0.0,0.8132036924362183,0.8159999847412109,6.8648293018341064
3,SGD_Momentum,relu,glorot_uniform,0.0,0.0,0.8166851997375488,0.8168333172798157,7.220041990280151
1,SGD_Momentum,relu,glorot_uniform,0.001,0.0,0.7857592701911926,0.7916666865348816,7.137707710266113
2,SGD_Momentum,relu,glorot_uniform,0.001,0.0,0.7899073958396912,0.7913333177566528,7.277153968811035
3,SGD_Momentum,relu,glorot_uniform,0.001,0.0,0.7978333234786987,0.7994999885559082,7.287940979003906
1,SGD_Momentum,relu,glorot_uniform,0.0,0.001,0.8110740780830383,0.8136666417121887,7.367424964904785
2,SGD_Momentum,relu,glorot_uniform,0.0,0.001,0.8159999847412109,0.815833330154419,7.275651216506958
3,SGD_Momentum,relu,glorot_uniform,0.0,0.001,0.8134444355964661,0.8119999766349792,7.579275131225586
1,SGD_Momentum,relu,glorot_uniform,0.001,0.001,0.7879999876022339,0.7886666655540466,7.727143287658691
2,SGD_Momentum,relu,glorot_uniform,0.001,0.001,0.7942036986351013,0.7953333258628845,7.893566846847534
3,SGD_Momentum,relu,glorot_uniform,0.001,0.001,0.7848703861236572,0.7878333330154419,7.705014228820801
1,SGD_Momentum,relu,he_uniform,0.0,0.0,0.8407407402992249,0.8401666879653931,7.0781567096710205
2,SGD_Momentum,relu,he_uniform,0.0,0.0,0.8445925712585449,0.843666672706604,6.984508991241455
3,SGD_Momentum,relu,he_uniform,0.0,0.0,0.8413888812065125,0.8363333344459534,7.35266900062561
1,SGD_Momentum,relu,he_uniform,0.001,0.0,0.8368333578109741,0.8339999914169312,7.4140918254852295
2,SGD_Momentum,relu,he_uniform,0.001,0.0,0.8315185308456421,0.8323333263397217,7.259731292724609
3,SGD_Momentum,relu,he_uniform,0.001,0.0,0.8332777619361877,0.8323333263397217,7.192931890487671
1,SGD_Momentum,relu,he_uniform,0.0,0.001,0.8453333377838135,0.8450000286102295,7.0233001708984375
2,SGD_Momentum,relu,he_uniform,0.0,0.001,0.8385555744171143,0.8395000100135803,7.252401113510132
3,SGD_Momentum,relu,he_uniform,0.0,0.001,0.8391666412353516,0.8360000252723694,7.39497709274292
1,SGD_Momentum,relu,he_uniform,0.001,0.001,0.8310370445251465,0.8330000042915344,7.840393781661987
2,SGD_Momentum,relu,he_uniform,0.001,0.001,0.8353703618049622,0.8371666669845581,7.5745158195495605
3,SGD_Momentum,relu,he_uniform,0.001,0.001,0.8332777619361877,0.8320000171661377,7.380767583847046
1,SGD_Momentum,tanh,glorot_uniform,0.0,0.0,0.8269814848899841,0.8298333287239075,7.420331954956055
2,SGD_Momentum,tanh,glorot_uniform,0.0,0.0,0.8268703818321228,0.828166663646698,7.592151165008545
3,SGD_Momentum,tanh,glorot_uniform,0.0,0.0,0.8266666531562805,0.8293333053588867,7.546532392501831
1,SGD_Momentum,tanh,glorot_uniform,0.001,0.0,0.8175926208496094,0.8196666836738586,7.874421834945679
2,SGD_Momentum,tanh,glorot_uniform,0.001,0.0,0.8181666731834412,0.8183333277702332,8.24359941482544
3,SGD_Momentum,tanh,glorot_uniform,0.001,0.0,0.8200185298919678,0.8201666474342346,13.41884446144104
1,SGD_Momentum,tanh,glorot_uniform,0.0,0.001,0.8261296153068542,0.8264999985694885,7.931641101837158
2,SGD_Momentum,tanh,glorot_uniform,0.0,0.001,0.8292962908744812,0.8276666402816772,8.282294034957886
3,SGD_Momentum,tanh,glorot_uniform,0.0,0.001,0.8262407183647156,0.8276666402816772,8.449119329452515
1,SGD_Momentum,tanh,glorot_uniform,0.001,0.001,0.8181852102279663,0.8174999952316284,8.787969827651978
2,SGD_Momentum,tanh,glorot_uniform,0.001,0.001,0.8177222013473511,0.8230000138282776,8.911507368087769
3,SGD_Momentum,tanh,glorot_uniform,0.001,0.001,0.8122037053108215,0.815500020980835,7.83323073387146
1,SGD_Momentum,tanh,he_uniform,0.0,0.0,0.8449259400367737,0.843833327293396,7.646284580230713
2,SGD_Momentum,tanh,he_uniform,0.0,0.0,0.8448333144187927,0.840833306312561,7.596264362335205
3,SGD_Momentum,tanh,he_uniform,0.0,0.0,0.8434259295463562,0.840833306312561,7.478258371353149
1,SGD_Momentum,tanh,he_uniform,0.001,0.0,0.8397592306137085,0.8401666879653931,7.839965105056763
2,SGD_Momentum,tanh,he_uniform,0.001,0.0,0.8391666412353516,0.8370000123977661,8.064058780670166
3,SGD_Momentum,tanh,he_uniform,0.001,0.0,0.8377777934074402,0.8383333086967468,8.52456021308899
1,SGD_Momentum,tanh,he_uniform,0.0,0.001,0.8460555672645569,0.8403333425521851,7.990100145339966
2,SGD_Momentum,tanh,he_uniform,0.0,0.001,0.8420185446739197,0.8401666879653931,7.962399005889893
